INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.734,1076,24,4615,0.3651,0.6349,25130,25130
Bethany University,NULL,0.507,956,20,454,0.4031,0.5969,17375,17375
Biola University,NULL,0.8168,1112,24,3897,0.3893,0.6107,24998,24998
California Baptist University,NULL,0.7036,987,21,2952,0.3564,0.6436,20636,20636
California Institute of Technology,NULL,0.1688,1517,34,913,0.6944,0.3056,32835,32835
California Lutheran University,NULL,0.6785,1094,24,2126,0.429,0.571,25990,25990
California Polytechnic State University-San Luis Obispo,NULL,0.466,1179,26,18849,0.5686,0.4314,4689,14859
California State University-Bakersfield,NULL,0.5525,911,18,6110,0.3362,0.6638,3714,13884
California State University-Stanislaus,NULL,0.638,941,20,7088,0.3495,0.6505,3330,13500
California State University-San Bernardino,NULL,0.6217,899,18,13559,0.3513,0.6487,3455,13625
California State Polytechnic University-Pomona,NULL,0.7195,1008,21,19618,0.5716,0.4284,3278,13448
California State University-Chico,NULL,0.8597,1013,21,15641,0.4771,0.5229,3690,13860
California State University-Dominguez Hills,NULL,0.137,806,16,8931,0.3159,0.6841,3377,13547
California State University-Fresno,NULL,0.6844,925,19,19326,0.4197,0.5803,3299,13469
California State University-Fullerton,NULL,0.6088,972,20,31750,0.4213,0.5787,3342,13536
California State University-East Bay,NULL,0.6684,897,18,9837,0.3886,0.6114,3345,13515
California State University-Long Beach,NULL,0.5166,1006,21,30746,0.4036,0.5964,3116,13286
California State University-Los Angeles,NULL,0.612,873,18,16046,0.39,0.61,3332,13502
California State University-Northridge,NULL,0.6977,923,19,29760,0.423,0.577,3350,13520
California State University-Sacramento,NULL,0.6667,963,21,24136,0.4272,0.5728,3558,13728
University of California-Berkeley,NULL,0.2376,1299,27,24636,0.4625,0.5375,7165,26785
University of California-Davis,NULL,0.6783,1142,24,23355,0.4392,0.5608,8124,27144
University of California-Irvine,NULL,0.6035,1171,25,21696,0.4807,0.5193,7556,27176
University of California-Los Angeles,NULL,0.2576,1275,27,25928,0.4466,0.5534,7165,26658
University of California-Riverside,NULL,0.8637,1028,21,14973,0.4799,0.5201,7355,24735
University of California-San Diego,NULL,0.4557,1234,26,22020,0.4746,0.5254,7456,27076
University of California-Santa Barbara,NULL,0.534,1162,25,18412,0.448,0.552,7896,25096
University of California-Santa Cruz,NULL,0.795,1130,24,14381,0.4639,0.5361,7646,25718
California State University Maritime Academy,NULL,0.6694,1043,22,858,0.8298,0.1702,3728,13898
Chapman University,NULL,0.4937,1221,27,4169,0.408,0.592,32608,32608
Concordia University-Irvine,NULL,0.6739,1022,22,1246,0.386,0.614,22380,22380
San Diego Christian College,NULL,0.4728,954,19,463,0.46,0.54,18920,18920
Claremont McKenna College,NULL,0.1621,1390,30,1135,0.5436,0.4564,35190,35190
Dominican University of California,NULL,0.5173,994,21,1469,0.243,0.757,30570,30570
Fresno Pacific University,NULL,0.6798,997,21,1553,0.3232,0.6768,21796,21796
Holy Names University,NULL,0.272,980,22,655,0.2763,0.7237,25060,25060
Humboldt State University,NULL,0.8041,1026,22,6922,0.4688,0.5312,3843,14013
American Jewish University,NULL,0.828,1115,25,96,0.3854,0.6146,21300,21300
Life Pacific College,NULL,0.7213,960,19,399,0.5113,0.4887,10780,10780
University of La Verne,NULL,0.5959,1002,21,3802,0.3248,0.6752,25590,25590
La Sierra University,NULL,0.4537,965,20,1422,0.4142,0.5858,21846,21846
The Master's University and Seminary,NULL,0.8274,1132,25,1111,0.4959,0.5041,22140,22140
Loyola Marymount University,NULL,0.5222,1145,25,5700,0.4205,0.5795,31804,31804
Menlo College,NULL,0.5741,934,19,680,0.5941,0.4059,27950,27950
Mills College,NULL,0.6439,1124,24,931,0,1,35440,35440
Notre Dame de Namur University,NULL,0.9901,961,20,747,0.3333,0.6667,24650,24650
Otis College of Art and Design,NULL,0.425,998,19,1117,0.3205,0.6795,28896,28896
Hope International University,NULL,0.707,1077,22,700,0.4186,0.5814,19900,19900
Pacific Union College,NULL,0.7515,1007,21,1270,0.463,0.537,21435,21435
University of the Pacific,NULL,0.591,1173,26,3456,0.4476,0.5524,28980,28980
Point Loma Nazarene University,NULL,0.7348,1119,24,2337,0.386,0.614,23730,23730
Pomona College,NULL,0.1632,1440,32,1521,0.503,0.497,33932,33932
University of Redlands,NULL,0.6293,1130,24,2750,0.4364,0.5636,30626,30626
San Diego State University,NULL,0.4393,980,22,29810,0.4284,0.5716,3428,13598
University of San Diego,NULL,0.4814,1182,26,4906,0.4185,0.5815,32564,32564
San Francisco Art Institute,NULL,0.2787,1062,23,385,0.4987,0.5013,28455,28455
San Francisco State University,NULL,0.6611,994,21,25134,0.4157,0.5843,3456,13626
University of San Francisco,NULL,0.6675,1122,25,5281,0.3698,0.6302,31180,31180
William Jessup University,NULL,0.5685,1090,25,504,0.4167,0.5833,18790,18790
San Jose State University,NULL,0.6432,991,21,24390,0.4867,0.5133,3632,13802
Santa Clara University,NULL,0.6646,1212,27,5219,0.4599,0.5401,33000,33000
Scripps College,NULL,0.4286,1346,30,889,0,1,35850,35850
Simpson University,NULL,0.6127,1020,23,892,0.3341,0.6659,18600,18600
Sonoma State University,NULL,0.8549,1018,22,7683,0.3814,0.6186,3946,14116
Vanguard University of Southern California,NULL,0.8152,982,21,1875,0.3712,0.6288,22986,22986
University of Southern California,NULL,0.2504,1358,30,16091,0.5018,0.4982,35809,35809
Thomas Aquinas College,NULL,0.5991,1281,27,360,0.5083,0.4917,20400,20400
Westmont College,NULL,0.7317,1194,26,1333,0.3878,0.6122,31212,31212
Whittier College,NULL,0.6111,1072,23,1257,0.4527,0.5473,30160,30160
Stanford University,NULL,0.1028,1430,31,6520,0.5155,0.4845,35089,35089
California State University-San Marcos,NULL,0.7647,970,21,8109,0.3903,0.6097,3374,13544
Soka University of America,NULL,0.537,1222,24,362,0.3674,0.6326,22108,22108
California State University-Monterey Bay,NULL,0.7531,970,20,3658,0.4385,0.5615,3256,13426
San Diego State University-Imperial Valley Campus,NULL,0.4393,980,20,673,0.3001,0.6999,3022,13058
California State University-Channel Islands,NULL,0.4492,987,21,3342,0.3857,0.6143,3452,13622
University of California-Merced,NULL,0.8735,1041,22,1750,0.52,0.48,7148,26768
