INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.7597,1099,24,6224,0.3636,0.6364,31076,31076
Biola University,NULL,0.7466,1112,24,4313,0.3842,0.6158,31004,31004
California Baptist University,NULL,0.7326,967,21,4954,0.3692,0.6308,26900,26900
California College of the Arts,NULL,0.8318,1061,23,1450,0.3931,0.6069,38798,38798
California Institute of Technology,NULL,0.1277,1520,34,997,0.6169,0.3831,39588,39588
California Lutheran University,NULL,0.4726,1118,25,2788,0.4423,0.5577,34360,34360
California Polytechnic State University-San Luis Obispo,NULL,0.374,1228,27,17599,0.5521,0.4479,8043,19701
California State University-Bakersfield,NULL,0.6695,901,19,7220,0.3874,0.6126,6709,18367
California State University-Stanislaus,NULL,0.7663,915,19,7619,0.3608,0.6392,6582,18240
California State University-San Bernardino,NULL,0.582,904,19,15777,0.3819,0.6181,6327,17985
California State Polytechnic University-Pomona,NULL,0.5509,1058,23,20461,0.5713,0.4287,6125,17783
California State University-Chico,NULL,0.7399,1017,22,15156,0.4812,0.5188,6890,18548
California State University-Dominguez Hills,NULL,0.5314,833,17,10941,0.3537,0.6463,6095,17753
California State University-Fresno,NULL,0.6041,920,19,19371,0.4311,0.5689,6228,17886
California State University-Fullerton,NULL,0.4669,1014,22,32278,0.4394,0.5606,6195,17853
California State University-East Bay,NULL,0.3571,902,19,11506,0.3885,0.6115,6309,17967
California State University-Long Beach,NULL,0.3038,1021,22,30918,0.4269,0.5731,6052,17710
California State University-Los Angeles,NULL,0.6942,870,18,18055,0.408,0.592,6101,17759
California State University-Northridge,NULL,0.6225,922,19,31237,0.4531,0.5469,6296,17954
California State University-Sacramento,NULL,0.671,946,20,25540,0.4317,0.5683,6620,18278
University of California-Berkeley,NULL,0.2161,1361,30,25774,0.4765,0.5235,12874,35752
University of California-Davis,NULL,0.4826,1208,27,25588,0.4476,0.5524,13877,36755
University of California-Irvine,NULL,0.4746,1143,24,22210,0.4575,0.5425,13122,36000
University of California-Los Angeles,NULL,0.2711,1289,28,27941,0.4516,0.5484,12692,35570
University of California-Riverside,NULL,0.6816,1064,22,18537,0.4823,0.5177,12960,35838
University of California-San Diego,NULL,0.3535,1226,27,22650,0.5061,0.4939,13217,36095
University of California-Santa Barbara,NULL,0.4631,1218,27,18974,0.4719,0.5281,13671,36549
University of California-Santa Cruz,NULL,0.6729,1129,24,15978,0.4689,0.5311,13416,36294
California State University Maritime Academy,NULL,0.7166,1062,24,971,0.8682,0.1318,6536,18194
Chapman University,NULL,0.4359,1216,27,5641,0.4262,0.5738,42084,42084
Concordia University-Irvine,NULL,0.6947,1040,23,1729,0.3783,0.6217,28500,28500
San Diego Christian College,NULL,0.4262,921,20,728,0.5041,0.4959,25108,25108
Claremont McKenna College,NULL,0.136,1394,31,1254,0.5247,0.4753,44085,44085
Dominican University of California,NULL,0.5582,1059,23,1600,0.2563,0.7438,39050,39050
Fresno Pacific University,NULL,0.7274,1023,22,2480,0.3266,0.6734,25336,25336
Harvey Mudd College,NULL,0.1924,1500,34,780,0.5603,0.4397,44442,44442
Holy Names University,NULL,0.5086,920,19,807,0.3086,0.6914,31640,31640
Humboldt State University,NULL,0.8115,1021,22,7580,0.4697,0.5303,7135,18793
American Jewish University,NULL,0.9643,1007,20,126,0.5238,0.4762,27080,27080
Life Pacific College,NULL,0.6309,973,21,458,0.4956,0.5044,13100,13100
University of La Verne,NULL,0.3987,1008,21,4956,0.4038,0.5962,33350,33350
La Sierra University,NULL,0.4847,936,19,2001,0.4283,0.5717,28314,28314
The Master's University and Seminary,NULL,0.6582,1077,24,1134,0.5309,0.4691,27700,27700
Loyola Marymount University,NULL,0.5016,1205,27,5962,0.4274,0.5726,39125,39125
Menlo College,NULL,0.9219,1005,23,714,0.6232,0.3768,36110,36110
Mills College,NULL,0.6265,1152,25,937,0,1,40080,40080
Mount Saint Mary's University,NULL,0.6006,918,19,2445,0.0671,0.9329,32894,32894
Notre Dame de Namur University,NULL,0.7478,957,20,1180,0.3398,0.6602,30522,30522
Occidental College,NULL,0.3932,1312,30,2166,0.4386,0.5614,44570,44570
Otis College of Art and Design,NULL,0.5492,1036,24,1100,0.3445,0.6555,38300,38300
Hope International University,NULL,0.5187,953,21,902,0.4401,0.5599,25264,25264
Pacific Union College,NULL,0.4727,1008,21,1524,0.4455,0.5545,26640,26640
University of the Pacific,NULL,0.3778,1199,26,3854,0.4678,0.5322,38320,38320
