INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Point Loma Nazarene University,NULL,0.5594,1159,26,2410,0.3784,0.6216,29510,29510
Pomona College,NULL,0.1296,1432,32,1585,0.4845,0.5155,41438,41438
University of Redlands,NULL,0.6482,1135,25,3346,0.4384,0.5616,39338,39338
San Diego State University,NULL,0.3291,1084,24,25746,0.446,0.554,6578,18236
University of San Diego,NULL,0.4259,1230,28,5369,0.4472,0.5528,39970,39970
San Francisco Art Institute,NULL,0.6282,1026,23,442,0.4095,0.5905,36618,36618
San Francisco State University,NULL,0.6502,1006,22,25793,0.4327,0.5673,6440,18098
University of San Francisco,NULL,0.6916,1138,25,6262,0.3718,0.6282,38884,38884
William Jessup University,NULL,0.6352,1026,22,976,0.417,0.583,22900,22900
San Jose State University,NULL,0.7514,1002,21,25046,0.5012,0.4988,6852,18510
Santa Clara University,NULL,0.5444,1282,29,5205,0.5028,0.4972,40572,40572
Scripps College,NULL,0.3241,1343,30,935,0,1,43620,43620
Simpson University,NULL,0.6047,1006,22,1033,0.3427,0.6573,22400,22400
Saint Mary's College of California,NULL,0.6566,1111,25,3017,0.3981,0.6019,38450,38450
Sonoma State University,NULL,0.849,1010,22,8084,0.4014,0.5986,7162,18820
Vanguard University of Southern California,NULL,0.6708,995,22,1957,0.348,0.652,28500,28500
Southern California Institute of Architecture,NULL,0.7986,1131,24,278,0.6691,0.3309,35176,35176
University of Southern California,NULL,0.1993,1377,31,17994,0.4927,0.5073,44463,44463
Thomas Aquinas College,NULL,0.8012,1259,27,370,0.4865,0.5135,23600,23600
Westmont College,NULL,0.6604,1199,27,1336,0.396,0.604,37020,37020
Whittier College,NULL,0.6359,1053,23,1583,0.4757,0.5243,38640,38640
Woodbury University,NULL,0.7613,975,22,1424,0.5,0.5,31444,31444
Ashford University,NULL,0.962,983,21,68874,0.2844,0.7156,10938,10938
Stanford University,NULL,0.0661,1465,33,6999,0.5219,0.4781,42225,42225
California State University-San Marcos,NULL,0.5853,966,21,9885,0.3963,0.6037,6452,18110
Soka University of America,NULL,0.458,1205,26,435,0.3494,0.6506,28146,28146
California State University-Monterey Bay,NULL,0.47,977,21,5108,0.379,0.621,5963,17621
California State University-Channel Islands,NULL,0.5382,974,21,4726,0.3565,0.6435,6216,17874
University of California-Merced,NULL,0.7996,1007,21,5431,0.5017,0.4983,13070,35948
