INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.7985,1098,24,6543,0.3648,0.6352,32256,32256
Biola University,NULL,0.7286,1123,25,4324,0.379,0.621,32142,32142
California Baptist University,NULL,0.788,984,21,5797,0.3631,0.6369,28122,28122
California Institute of Technology,NULL,0.1055,1534,34,977,0.6336,0.3664,41538,41538
California Lutheran University,NULL,0.4802,1108,24,2882,0.4514,0.5486,35720,35720
California Polytechnic State University-San Luis Obispo,NULL,0.3123,1242,28,18664,0.5477,0.4523,8724,19884
California State University-Bakersfield,NULL,0.6626,901,19,7226,0.3912,0.6088,6775,17935
California State University-Stanislaus,NULL,0.7215,917,19,7751,0.3588,0.6412,6491,17651
California State University-San Bernardino,NULL,0.5831,888,18,15887,0.3863,0.6137,6550,17710
California State Polytechnic University-Pomona,NULL,0.5218,1070,23,20857,0.567,0.433,6350,17510
California State University-Chico,NULL,0.7161,1014,22,15106,0.4811,0.5189,6972,18132
California State University-Dominguez Hills,NULL,0.5747,845,17,11894,0.3558,0.6442,6100,17260
California State University-Fresno,NULL,0.5815,920,19,19911,0.4311,0.5689,6287,17447
California State University-Fullerton,NULL,0.4579,1021,22,33000,0.4454,0.5546,6186,17346
California State University-East Bay,NULL,0.6872,910,19,12079,0.3873,0.6127,6550,17710
California State University-Long Beach,NULL,0.3082,1012,21,30440,0.4338,0.5662,6240,17400
California State University-Los Angeles,NULL,0.6752,871,18,19525,0.412,0.588,6344,17504
California State University-Northridge,NULL,0.4624,918,19,33581,0.4557,0.5443,6525,17685
California State University-Sacramento,NULL,0.6968,945,20,25991,0.4345,0.5655,6628,17788
University of California-Berkeley,NULL,0.18,1350,30,25951,0.4813,0.5187,12864,35742
University of California-Davis,NULL,0.4521,1192,26,26483,0.4365,0.5635,13895,36773
University of California-Irvine,NULL,0.4239,1122,24,23517,0.4568,0.5432,13149,36027
University of California-Los Angeles,NULL,0.2199,1289,28,28667,0.4472,0.5528,12697,35575
University of California-Riverside,NULL,0.62,1078,23,18612,0.489,0.511,12960,35838
University of California-San Diego,NULL,0.375,1276,28,23792,0.5154,0.4846,13271,36149
University of California-Santa Barbara,NULL,0.4444,1212,27,19362,0.4771,0.5229,13746,36624
University of California-Santa Cruz,NULL,0.5991,1087,23,15695,0.4678,0.5322,13397,36275
California State University Maritime Academy,NULL,0.748,1080,24,1044,0.8573,0.1427,6536,17696
Chapman University,NULL,0.4471,1208,27,5940,0.4111,0.5889,43573,43573
Concordia University-Irvine,NULL,0.9119,1020,23,1916,0.3773,0.6227,29630,29630
San Diego Christian College,NULL,0.492,986,21,889,0.4724,0.5276,25888,25888
Claremont McKenna College,NULL,0.1173,1397,31,1311,0.5156,0.4844,45625,45625
Dominican University of California,NULL,0.7752,1057,23,1567,0.2578,0.7422,40600,40600
Fresno Pacific University,NULL,0.7844,979,20,2496,0.3085,0.6915,25716,25716
Harvey Mudd College,NULL,0.1817,1483,34,803,0.533,0.467,46509,46509
Holy Names University,NULL,0.5668,910,19,800,0.325,0.675,33020,33020
Humboldt State University,NULL,0.8018,1008,21,7748,0.4668,0.5332,7144,18304
Life Pacific College,NULL,0.7482,930,20,475,0.5137,0.4863,12500,12500
University of La Verne,NULL,0.3895,1035,23,5128,0.4189,0.5811,35000,35000
La Sierra University,NULL,0.4677,926,20,2060,0.4238,0.5762,29103,29103
The Master's University and Seminary,NULL,0.6137,1104,25,1112,0.5297,0.4703,28800,28800
Loyola Marymount University,NULL,0.5412,1202,27,6087,0.4262,0.5738,40265,40265
Menlo College,NULL,0.3705,1001,22,742,0.6199,0.3801,37100,37100
Mills College,NULL,0.6798,1151,26,974,0,1,41494,41494
Mount Saint Mary's University,NULL,0.7409,928,19,2617,0.0634,0.9366,33852,33852
Notre Dame de Namur University,NULL,0.872,972,20,1209,0.3342,0.6658,31126,31126
Occidental College,NULL,0.4239,1303,29,2028,0.4443,0.5557,46652,46652
