INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Otis College of Art and Design,NULL,0.4628,1002,22,1029,0.3547,0.6453,39430,39430
Hope International University,NULL,0.4681,951,20,872,0.4461,0.5539,26050,26050
Pacific Union College,NULL,0.5055,1017,22,1601,0.4391,0.5609,27480,27480
University of the Pacific,NULL,0.7265,1172,26,3869,0.4792,0.5208,39810,39810
Point Loma Nazarene University,NULL,0.6654,1155,26,2543,0.3751,0.6249,30356,30356
Pomona College,NULL,0.1392,1454,33,1587,0.4802,0.5198,43580,43580
University of Redlands,NULL,0.672,1135,25,3462,0.4451,0.5549,41290,41290
San Diego State University,NULL,0.3133,1084,24,26625,0.4511,0.5489,6766,17926
University of San Diego,NULL,0.4885,1228,28,5573,0.4488,0.5512,41392,41392
San Francisco Art Institute,NULL,0.8269,1061,25,468,0.4338,0.5662,38406,38406
San Francisco State University,NULL,0.6379,998,22,25271,0.4358,0.5642,6450,17610
University of San Francisco,NULL,0.6129,1161,25,6308,0.3795,0.6205,40294,40294
William Jessup University,NULL,0.6929,1039,23,1029,0.3984,0.6016,24040,24040
San Jose State University,NULL,0.6347,1030,22,25723,0.5114,0.4886,7343,18503
Santa Clara University,NULL,0.5122,1294,29,5404,0.5017,0.4983,42156,42156
Scripps College,NULL,0.357,1364,31,980,0,1,45564,45564
Simpson University,NULL,0.555,1030,22,1024,0.3359,0.6641,23300,23300
Saint Mary's College of California,NULL,0.6947,1115,25,3039,0.411,0.589,39890,39890
Sonoma State University,NULL,0.8186,1006,22,8321,0.3878,0.6122,7234,18394
Vanguard University of Southern California,NULL,0.6977,980,23,2057,0.3306,0.6694,29250,29250
Southern California Institute of Architecture,NULL,0.8667,1137,21,237,0.654,0.346,37300,37300
University of Southern California,NULL,0.1984,1380,31,18087,0.4948,0.5052,46298,46298
Thomas Aquinas College,NULL,0.7921,1243,27,366,0.5055,0.4945,24500,24500
Westmont College,NULL,0.7016,1193,27,1295,0.39,0.61,38510,38510
Whittier College,NULL,0.6325,1043,23,1651,0.4409,0.5591,40296,40296
Woodbury University,NULL,0.5575,987,22,1353,0.4871,0.5129,33150,33150
Stanford University,NULL,0.0569,1466,33,6980,0.5309,0.4691,43683,43683
California State University-San Marcos,NULL,0.6251,966,21,10689,0.3958,0.6042,6649,17809
Soka University of America,NULL,0.4336,1213,27,412,0.3641,0.6359,29144,29144
California State University-Monterey Bay,NULL,0.444,976,21,5153,0.3813,0.6187,5963,17123
San Diego State University-Imperial Valley Campus,NULL,0.31329335721517,1084,19,693,0.2958,0.7042,5706,16866
California State University-Channel Islands,NULL,0.6443,954,20,4950,0.3572,0.6428,6471,17631
University of California-Merced,NULL,0.7551,1010,21,5837,0.4854,0.5146,13160,36038
John Paul the Great Catholic University,NULL,0.8815,1069,24,189,0.5291,0.4709,24900,24900
