INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.8261,1074,23,4373,0.3574,0.6426,18790,18790
California Baptist University,NULL,0.8426,998,21,1734,0.3437,0.6563,14684,14684
California Lutheran University,NULL,0.7732,1091,23,1909,0.4416,0.5584,20200,20200
Chapman University,NULL,0.6199,1175,25,3413,0.4295,0.5705,24576,24576
Concordia University-Irvine,NULL,0.6653,1049,21,1281,0.356,0.644,17990,17990
Claremont McKenna College,NULL,0.3102,1351,29,1137,0.5347,0.4653,27700,27700
Dominican University of California,NULL,0.549,1034,22,1107,0.2412,0.7588,22250,22250
Fresno Pacific University,NULL,0.0934,1005,21,1304,0.3474,0.6526,17592,17592
Holy Names University,NULL,0.6209,965,20,592,0.2162,0.7838,20180,20180
Life Pacific College,NULL,0.9688,966,21,440,0.5136,0.4864,7300,7300
University of La Verne,NULL,0.5714,987,20,3623,0.3539,0.6461,20500,20500
La Sierra University,NULL,0.6361,949,19,1504,0.4176,0.5824,16272,16272
The Master's University and Seminary,NULL,0.8392,1107,24,1127,0.4925,0.5075,17200,17200
Occidental College,NULL,0.4352,1273,29,1817,0.4188,0.5812,28092,28092
Otis College of Art and Design,NULL,0.628,1026,25,1017,0.35,0.65,23420,23420
Pacific Union College,NULL,0.9563,1107,25,1317,0.4594,0.5406,17115,17115
University of the Pacific,NULL,0.705,1153,25,3337,0.4225,0.5775,23180,23180
Pepperdine University,NULL,0.25,1138,23,3083,0.4453,0.5547,27520,27520
Point Loma Nazarene University,NULL,0.6435,1129,24,2375,0.4055,0.5945,18500,18500
Pomona College,NULL,0.2109,1434,31,1529,0.4925,0.5075,27150,27150
University of Redlands,NULL,0.7631,1125,24,3175,0.4208,0.5792,23796,23796
San Francisco Conservatory of Music,NULL,0.5592,1054,23,153,0.5229,0.4771,23780,23780
University of San Francisco,NULL,0.8196,1075,23,4587,0.3499,0.6501,23340,23340
William Jessup University,NULL,0.4928,971,20,358,0.5503,0.4497,12204,12204
Santa Clara University,NULL,0.6975,1200,26,4257,0.4513,0.5487,25365,25365
Scripps College,NULL,0.5421,1307,29,810,0,1,27100,27100
Simpson University,NULL,0.9477,994,21,961,0.3757,0.6243,14760,14760
University of Southern California,NULL,0.299,1326,29,16240,0.494,0.506,28692,28692
Thomas Aquinas College,NULL,0.7697,1265,27,332,0.4608,0.5392,16800,16800
Whittier College,NULL,0.7608,1072,23,1203,0.4248,0.5752,23192,23192
Ashford University,NULL,0.7724,910,19,416,0.4351,0.5649,13920,13920
Stanford University,NULL,0.1258,1439,31,7054,0.499,0.501,28563,28563
