INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.7434,1079,23,4722,0.3691,0.6309,23050,23050
Bethany University,NULL,0.5305,918,19,466,0.412,0.588,16265,16265
Biola University,NULL,0.6058,1109,24,3858,0.3937,0.6063,23782,23782
California Baptist University,NULL,0.6891,947,20,2621,0.3548,0.6452,19030,19030
California Lutheran University,NULL,0.6645,1080,23,2122,0.4477,0.5523,24330,24330
California Polytechnic State University-San Luis Obispo,NULL,0.1733,1193,26,17794,0.5656,0.4344,4349,14519
California State University-Bakersfield,NULL,0.5607,968,19,6137,0.3402,0.6598,3387,13557
California State University-Stanislaus,NULL,0.6465,941,19,6671,0.3382,0.6618,3043,13213
California State University-San Bernardino,NULL,0.6115,903,18,13156,0.3527,0.6473,3092,13262
California State Polytechnic University-Pomona,NULL,0.7045,1021,21,18650,0.5703,0.4297,3015,13185
California State University-Chico,NULL,0.8015,1029,21,14927,0.4722,0.5278,3412,13582
California State University-Dominguez Hills,NULL,0.1116,820,17,9049,0.3101,0.6899,3011,13181
California State University-Fresno,NULL,0.6529,940,19,19127,0.4228,0.5772,3039,13209
California State University-Fullerton,NULL,0.6372,980,20,30703,0.4208,0.5792,3010,13180
California State University-East Bay,NULL,0.4397,933,19,9471,0.3897,0.6103,2946,13116
California State University-Long Beach,NULL,0.5404,1013,21,29795,0.3959,0.6041,2864,13034
California State University-Los Angeles,NULL,0.619,896,18,15375,0.3849,0.6151,3080,13250
California State University-Northridge,NULL,0.7471,926,18,28491,0.4137,0.5863,3042,13212
California State University-Sacramento,NULL,0.4748,965,20,23928,0.427,0.573,3282,13452
University of California-Berkeley,NULL,0.2652,1315,28,23863,0.4602,0.5398,6654,25338
University of California-Davis,NULL,0.6892,1144,24,23311,0.4472,0.5528,7576,26260
University of California-Irvine,NULL,0.6037,1183,25,20719,0.4932,0.5068,6794,25478
University of California-Los Angeles,NULL,0.2691,1275,27,25431,0.4366,0.5634,6522,25206
University of California-Riverside,NULL,0.7975,1052,21,14792,0.4803,0.5197,6590,25274
University of California-San Diego,NULL,0.4257,1243,26,21346,0.4777,0.5223,6688,25372
University of California-Santa Barbara,NULL,0.5283,1186,25,18210,0.4526,0.5474,7010,25694
University of California-Santa Cruz,NULL,0.7427,1147,24,13941,0.4697,0.5303,7017,25701
California Christian College,NULL,0.8571,890,19,32,0.625,0.375,6380,6380
California State University Maritime Academy,NULL,0.6019,1090,22,828,0.8249,0.1751,3476,13646
Chapman University,NULL,0.5274,1210,27,4053,0.4152,0.5848,29900,29900
Concordia University-Irvine,NULL,0.6555,1024,22,1335,0.3798,0.6202,21130,21130
San Diego Christian College,NULL,0.5794,970,21,502,0.4641,0.5359,16992,16992
Claremont McKenna College,NULL,0.226,1358,31,1153,0.5369,0.4631,33210,33210
Dominican University of California,NULL,0.5165,991,21,1440,0.2396,0.7604,27770,27770
Fresno Pacific University,NULL,0.6786,1009,21,1456,0.318,0.682,20790,20790
Holy Names University,NULL,0.6332,908,19,619,0.2488,0.7512,22470,22470
Humboldt State University,NULL,0.6913,1046,22,6652,0.4534,0.5466,3175,13345
Life Pacific College,NULL,0.9769,992,22,569,0.5149,0.4851,9750,9750
University of La Verne,NULL,0.6154,1018,21,3947,0.319,0.681,24260,24260
La Sierra University,NULL,0.3251,939,20,1524,0.4357,0.5643,20634,20634
The Master's University and Seminary,NULL,0.8319,1111,23,1130,0.4991,0.5009,20770,20770
Loyola Marymount University,NULL,0.5343,1161,26,5660,0.4163,0.5837,29834,29834
Menlo College,NULL,0.5741,934,19,725,0.5779,0.4221,26220,26220
Mills College,NULL,0.7449,1092,23,904,0,1,33024,33024
Notre Dame de Namur University,NULL,0.966,982,21,855,0.3567,0.6433,23650,23650
Occidental College,NULL,0.4199,1282,28,1791,0.4411,0.5589,33256,33256
Otis College of Art and Design,NULL,0.559,1005,22,1069,0.334,0.666,27546,27546
Hope International University,NULL,0.6667,1000,23,627,0.3907,0.6093,18700,18700
University of the Pacific,NULL,0.6926,1155,25,3530,0.4425,0.5575,27350,27350
Point Loma Nazarene University,NULL,0.6535,1123,24,2369,0.3921,0.6079,21620,21620
Pomona College,NULL,0.177,1435,32,1545,0.5016,0.4984,31865,31865
University of Redlands,NULL,0.6557,1136,24,2802,0.4361,0.5639,28476,28476
San Diego State University,NULL,0.4396,1010,23,27911,0.4243,0.5757,3160,13330
University of San Diego,NULL,0.4608,1175,26,4946,0.3997,0.6003,30704,30704
