INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
San Francisco Art Institute,NULL,0.2622,992,21,403,0.5161,0.4839,27200,27200
San Francisco State University,NULL,0.6722,999,20,24529,0.4063,0.5937,3166,13336
University of San Francisco,NULL,0.7223,1109,24,5245,0.3542,0.6458,28760,28760
William Jessup University,NULL,0.4793,1068,22,578,0.436,0.564,17238,17238
San Jose State University,NULL,0.6499,980,20,22482,0.4887,0.5113,3296,13466
Santa Clara University,NULL,0.6086,1210,26,4585,0.4552,0.5448,30900,30900
Scripps College,NULL,0.4517,1324,29,859,0,1,33700,33700
Simpson University,NULL,0.5529,998,21,869,0.3613,0.6387,17800,17800
Sonoma State University,NULL,0.6088,1033,22,7198,0.3718,0.6282,3648,13818
Vanguard University of Southern California,NULL,0.8254,1006,22,1927,0.3581,0.6419,21564,21564
Southern California Institute of Architecture,NULL,0.7045,1088,25,223,0.6502,0.3498,20260,20260
University of Southern California,NULL,0.2541,1362,30,16449,0.4961,0.5039,33892,33892
Thomas Aquinas College,NULL,0.8309,1271,27,351,0.4986,0.5014,19300,19300
Westmont College,NULL,0.6502,1223,27,1319,0.398,0.602,29470,29470
Whittier College,NULL,0.6336,1070,23,1257,0.4614,0.5386,29206,29206
Ashford University,NULL,0.5982,865,18,3414,0.2279,0.7721,14894,14894
Stanford University,NULL,0.1094,1423,31,6391,0.5209,0.4791,32994,32994
California State University-San Marcos,NULL,0.4204,971,20,7600,0.3922,0.6078,3092,13262
California State University-Monterey Bay,NULL,0.594,994,21,3405,0.4364,0.5636,3002,13172
San Diego State University-Imperial Valley Campus,NULL,0.4396,1010,21,648,0.2886,0.7114,2654,12824
California State University-Channel Islands,NULL,0.4195,1019,21,2902,0.3846,0.6154,2980,13150
University of California-Merced,NULL,0.6892,1144,21,1210,0.5174,0.4826,6653,25337
