UNITID,INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
123961,University of Southern California,www.usc.edu/,0.176816116,1391,32,18519,0.4925,0.5075,50277,50277
124292,Thomas Aquinas College,https://www.thomasaquinas.edu,0.751322751,1280,30,377,0.504,0.496,24500,24500
125727,Westmont College,www.westmont.edu,0.812229177,1179,26,1296,0.392,0.608,41360,41360
125763,Whittier College,www.whittier.edu,0.626155624,1057,23,1643,0.44,0.56,43280,43280
125897,Woodbury University,woodbury.edu/,0.576005961,944,19,1245,0.506,0.494,36408,36408
243744,Stanford University,www.stanford.edu/,0.050356496,1479,33,6994,0.5237,0.4763,46320,46320
366711,California State University-San Marcos,www.csusm.edu,0.540384896,955,21,12103,0.3943,0.6057,7269,18429
399911,Soka University of America,www.soka.edu,0.461197339,1229,27,432,0.3773,0.6227,30642,30642
445188,University of California-Merced,www.ucmerced.edu,0.606881561,1025,23,6237,0.4865,0.5135,13208,37916
462354,John Paul the Great Catholic University,www.jpcatholic.com/,0.950819672,1106,25,206,0.5728,0.4272,24900,24900
