INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.5063,1098,24,5998,0.3626,0.6374,29940,29940
Biola University,NULL,0.7668,1115,24,4232,0.3873,0.6127,29908,29908
California Baptist University,NULL,0.7406,976,21,4403,0.3729,0.6271,25808,25808
California Institute of Technology,NULL,0.1277,1520,34,978,0.6104,0.3896,37704,37704
California Lutheran University,NULL,0.4399,1115,25,2709,0.436,0.564,32860,32860
California Polytechnic State University-San Luis Obispo,NULL,0.3254,1222,27,17651,0.554,0.446,7911,19071
California State University-Bakersfield,NULL,0.6627,921,19,6832,0.3857,0.6143,6682,17842
California State University-Stanislaus,NULL,0.3356,927,20,7912,0.3611,0.6389,6582,17742
California State University-San Bernardino,NULL,0.1906,905,19,14557,0.3732,0.6268,6518,17678
California State Polytechnic University-Pomona,NULL,0.4465,1086,24,19306,0.5739,0.4261,6106,17266
California State University-Chico,NULL,0.6222,1039,23,14614,0.486,0.514,6890,18050
California State University-Dominguez Hills,NULL,0.5793,840,17,11154,0.3577,0.6423,6095,16755
California State University-Fresno,NULL,0.5591,931,19,18784,0.4319,0.5681,6263,17423
California State University-Fullerton,NULL,0.4515,998,21,30702,0.4363,0.5637,6120,17280
California State University-East Bay,NULL,0.2197,914,19,10650,0.398,0.602,6414,17574
California State University-Long Beach,NULL,0.3444,1021,22,29244,0.4192,0.5808,6240,17400
California State University-Los Angeles,NULL,0.5717,876,18,17307,0.4082,0.5918,6095,17255
California State University-Northridge,NULL,0.7354,925,19,31747,0.4459,0.5541,6488,17648
California State University-Sacramento,NULL,0.7085,954,20,24741,0.4317,0.5683,6573,17733
University of California-Berkeley,NULL,0.2143,1349,30,25885,0.4723,0.5277,12834,35712
University of California-Davis,NULL,0.4627,1202,26,24938,0.4504,0.5496,13860,36738
University of California-Irvine,NULL,0.4521,1179,26,21994,0.4576,0.5424,13122,36000
University of California-Los Angeles,NULL,0.2554,1289,28,27199,0.4518,0.5482,12686,35564
University of California-Riverside,NULL,0.7588,1037,22,18516,0.4816,0.5184,12924,35802
University of California-San Diego,NULL,0.3788,1268,28,23022,0.4948,0.5052,13200,36078
University of California-Santa Barbara,NULL,0.4547,1205,27,18617,0.4757,0.5243,13595,36473
University of California-Santa Cruz,NULL,0.6382,1126,24,15945,0.4775,0.5225,13416,36294
California State University Maritime Academy,NULL,0.6907,1065,23,881,0.857,0.143,6536,17696
Chapman University,NULL,0.4485,1208,27,5265,0.4317,0.5683,40234,40234
Concordia University-Irvine,NULL,0.7597,1017,22,1624,0.4083,0.5917,27300,27300
San Diego Christian College,NULL,0.3946,973,21,615,0.4797,0.5203,23814,23814
Claremont McKenna College,NULL,0.1412,1392,32,1292,0.5271,0.4729,42240,42240
Cogswell College,NULL,0.5411,1069,23,279,0.8029,0.1971,19668,19668
Dominican University of California,NULL,0.5373,1066,24,1637,0.2688,0.7312,37350,37350
Fresno Pacific University,NULL,0.4455,998,22,2481,0.3321,0.6679,24790,24790
Harvey Mudd College,NULL,0.2099,1497,34,778,0.5797,0.4203,42410,42410
Holy Names University,NULL,0.6398,913,19,728,0.2816,0.7184,30390,30390
Humboldt State University,NULL,0.8274,1030,22,7371,0.469,0.531,7062,18222
American Jewish University,NULL,0.9487,1030,21,133,0.5188,0.4812,25788,25788
Life Pacific College,NULL,0.9559,923,19,460,0.5043,0.4957,12500,12500
University of La Verne,NULL,0.5926,988,21,4557,0.4038,0.5962,31300,31300
La Sierra University,NULL,0.4654,914,18,1841,0.4465,0.5535,27231,27231
The Master's University and Seminary,NULL,0.6946,1117,26,1177,0.537,0.463,26650,26650
Loyola Marymount University,NULL,0.5344,1188,26,5951,0.4285,0.5715,37825,37825
Menlo College,NULL,0.379,978,22,682,0.632,0.368,35076,35076
Mills College,NULL,0.5704,1177,27,924,0,1,39264,39264
Mount Saint Mary's University,NULL,0.6807,938,20,2267,0.0662,0.9338,31339,31339
Musicians Institute,NULL,0.987,1127,23,1337,0.8153,0.1847,23175,23175
Notre Dame de Namur University,NULL,0.7099,956,21,1146,0.3421,0.6579,29890,29890
Occidental College,NULL,0.3871,1300,29,2107,0.4324,0.5676,42871,42871
Otis College of Art and Design,NULL,0.511,1044,24,1138,0.3225,0.6775,35404,35404
Hope International University,NULL,0.5217,950,20,856,0.4311,0.5689,24064,24064
Pacific Union College,NULL,0.4683,1010,22,1487,0.4566,0.5434,25965,25965
University of the Pacific,NULL,0.3584,1184,26,3872,0.4496,0.5504,36290,36290
Point Loma Nazarene University,NULL,0.5241,1149,26,2365,0.3949,0.6051,28310,28310
Pomona College,NULL,0.1403,1455,33,1567,0.4901,0.5099,39883,39883
University of Redlands,NULL,0.6655,1134,25,3184,0.4435,0.5565,37302,37302
San Diego State University,NULL,0.3002,1085,24,25529,0.4389,0.5611,6578,17738
University of San Diego,NULL,0.4752,1241,28,5409,0.447,0.553,38582,38582
San Francisco Art Institute,NULL,0.5711,1031,23,397,0.4408,0.5592,34916,34916
San Francisco State University,NULL,0.6147,1010,22,24766,0.4271,0.5729,6276,17436
University of San Francisco,NULL,0.5797,1142,25,5977,0.3677,0.6323,37424,37424
William Jessup University,NULL,0.6452,1015,22,859,0.4098,0.5902,21800,21800
San Jose State University,NULL,0.5657,1030,22,24608,0.4946,0.5054,6828,17988
Santa Clara University,NULL,0.5795,1256,28,5182,0.4886,0.5114,39048,39048
Scripps College,NULL,0.3629,1363,31,957,0,1,41950,41950
Simpson University,NULL,0.5196,1051,23,1015,0.3271,0.6729,21600,21600
Saint Mary's College of California,NULL,0.6915,1112,25,2986,0.3818,0.6182,37150,37150
Sonoma State University,NULL,0.8088,1023,22,7722,0.3968,0.6032,6862,18022
Vanguard University of Southern California,NULL,0.7371,984,22,1897,0.3627,0.6373,27400,27400
University of Southern California,NULL,0.2302,1383,31,17090,0.4933,0.5067,42818,42818
Thomas Aquinas College,NULL,0.7895,1256,27,358,0.4916,0.5084,22850,22850
Westmont College,NULL,0.613,1188,26,1329,0.383,0.617,35650,35650
Whittier College,NULL,0.7148,1067,23,1569,0.4672,0.5328,36992,36992
Woodbury University,NULL,0.7352,955,22,1261,0.4734,0.5266,29994,29994
Ashford University,NULL,0.9004,951,20,66864,0.2802,0.7198,10650,10650
Stanford University,NULL,0.071,1446,32,6927,0.5175,0.4825,41564,41564
California State University-San Marcos,NULL,0.4081,963,20,9444,0.3972,0.6028,6596,17756
Soka University of America,NULL,0.3449,1153,25,438,0.3539,0.6461,27226,27226
California State University-Monterey Bay,NULL,0.5227,963,21,4729,0.3899,0.6101,5963,17123
San Diego State University-Imperial Valley Campus,NULL,0.3002,1085,21,655,0.2718,0.7282,5706,16866
California State University-Channel Islands,NULL,0.5751,959,19,4009,0.353,0.647,6316,17476
University of California-Merced,NULL,0.8862,1007,21,4938,0.5024,0.4976,13070,35948
